"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0019216","regulation of lipid metabolic process","28/292","382/28814",3.86527171027637e-16,9.86748649466267e-14,7.21323637962853e-14,"Acadvl/Fabp3/Plin5/Mlycd/Dgat2/Dbi/Acadl/Angptl4/Pnpla2/Ephx2/Cpt1a/Dkk3/Cidea/Pdk4/Acacb/Slc27a1/Lpcat3/Prkag2/Appl2/Fgf1/Srebf2/C3/Ldlr/Ppargc1a/Insig1/Fdps/Prox1/Pcx",28,"BP"
"GO:0009259","ribonucleotide metabolic process","27/292","364/28814",9.91953122845243e-16,2.36349364069926e-13,1.72773870238729e-13,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Upp1/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",27,"BP"
"GO:0019693","ribose phosphate metabolic process","27/292","376/28814",2.20833558158815e-15,4.93286960537252e-13,3.60597954835643e-13,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Upp1/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",27,"BP"
"GO:0009150","purine ribonucleotide metabolic process","26/292","345/28814",2.360136519166e-15,4.96183995264664e-13,3.62715717682354e-13,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",26,"BP"
"GO:0046320","regulation of fatty acid oxidation","12/292","41/28814",5.68758562763737e-15,1.12930172406533e-12,8.25531434374033e-13,"Acadvl/Fabp3/Plin5/Mlycd/Dgat2/Dbi/Acadl/Cpt1a/Pdk4/Acacb/Appl2/Ppargc1a",12,"BP"
"GO:0008203","cholesterol metabolic process","18/292","145/28814",9.88147154371704e-15,1.85875680511814e-12,1.35877076850447e-12,"Hmgcs2/Acadvl/Dgat2/Acadl/Cat/Ephx2/Cyp51/Lpcat3/Dhcr24/Lipe/Hsd17b7/Fgf1/Srebf2/Ldlr/Hmgcs1/Insig1/Fdps/Npc1",18,"BP"
"GO:0006163","purine nucleotide metabolic process","26/292","369/28814",1.16549118877886e-14,2.08273275434782e-12,1.52249954239428e-12,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",26,"BP"
"GO:0006637","acyl-CoA metabolic process","15/292","88/28814",1.3925311768895e-14,2.26223019372868e-12,1.65371405791376e-12,"Acsl1/Hmgcs2/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Acadsb/Mpc1/Acot11/Hmgcs1/Hsd17b4",15,"BP"
"GO:0035383","thioester metabolic process","15/292","88/28814",1.3925311768895e-14,2.26223019372868e-12,1.65371405791376e-12,"Acsl1/Hmgcs2/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Acadsb/Mpc1/Acot11/Hmgcs1/Hsd17b4",15,"BP"
"GO:0033865","nucleoside bisphosphate metabolic process","16/292","110/28814",2.4353740526709e-14,3.48161074569832e-12,2.54509406262281e-12,"Acsl1/Hmgcs2/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Acadsb/Mpc1/Dcakd/Acot11/Hmgcs1/Hsd17b4",16,"BP"
"GO:0033875","ribonucleoside bisphosphate metabolic process","16/292","110/28814",2.4353740526709e-14,3.48161074569832e-12,2.54509406262281e-12,"Acsl1/Hmgcs2/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Acadsb/Mpc1/Dcakd/Acot11/Hmgcs1/Hsd17b4",16,"BP"
"GO:0034032","purine nucleoside bisphosphate metabolic process","16/292","110/28814",2.4353740526709e-14,3.48161074569832e-12,2.54509406262281e-12,"Acsl1/Hmgcs2/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Acadsb/Mpc1/Dcakd/Acot11/Hmgcs1/Hsd17b4",16,"BP"
"GO:0016125","sterol metabolic process","18/292","154/28814",2.87888286718372e-14,3.95735667973639e-12,2.89286934265182e-12,"Hmgcs2/Acadvl/Dgat2/Acadl/Cat/Ephx2/Cyp51/Lpcat3/Dhcr24/Lipe/Hsd17b7/Fgf1/Srebf2/Ldlr/Hmgcs1/Insig1/Fdps/Npc1",18,"BP"
"GO:1902652","secondary alcohol metabolic process","18/292","158/28814",4.52637801749655e-14,5.99158334612321e-12,4.37991042472765e-12,"Hmgcs2/Acadvl/Dgat2/Acadl/Cat/Ephx2/Cyp51/Lpcat3/Dhcr24/Lipe/Hsd17b7/Fgf1/Srebf2/Ldlr/Hmgcs1/Insig1/Fdps/Npc1",18,"BP"
"GO:0072521","purine-containing compound metabolic process","26/292","392/28814",4.81795999122992e-14,6.14978178880562e-12,4.49555514971153e-12,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",26,"BP"
"GO:0006790","sulfur compound metabolic process","24/292","328/28814",5.57568135721524e-14,6.87154661058181e-12,5.02317282345126e-12,"Acsl1/Hmgcs2/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Clic5/Sult1a1/Fasn/Gstm1/Pdk4/Acacb/Dpep1/Gsto1/Acadsb/Iba57/Mpc1/Dnmt1/Gstm7/Gstm2/Acot11/Hmgcs1/Hsd17b4",24,"BP"
"GO:0001659","temperature homeostasis","19/292","188/28814",8.00182827388751e-14,9.53284475029132e-12,6.96860974589081e-12,"Acsl1/Acadvl/Decr1/Cpt2/Ucp2/Acadl/Cidea/Vegfa/Hadh/Slc27a1/Fabp4/Per2/Appl2/Ogt/Sqstm1/Apln/Ppargc1a/Acot11/Abat",19,"BP"
"GO:0008202","steroid metabolic process","24/292","338/28814",1.07518402714357e-13,1.23958313322939e-11,9.06148304030676e-12,"Hmgcs2/Acadvl/Dgat2/Acadl/Cat/Ephx2/Sult1a1/Dkk3/Cyp51/Lpcat3/Dhcr24/Lipe/Hsd17b7/Fgf1/Srebf2/Abcd3/Ldlr/Ppargc1a/Hmgcs1/Insig1/Fdps/Prox1/Hsd17b4/Npc1",24,"BP"
"GO:0009117","nucleotide metabolic process","27/292","447/28814",1.453777325643e-13,1.62368755057752e-11,1.18693267179142e-11,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Upp1/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",27,"BP"
"GO:0006753","nucleoside phosphate metabolic process","27/292","455/28814",2.21562438618205e-13,2.39958835036807e-11,1.75412431467427e-11,"Acsl1/Hmgcs2/Nppb/Acot2/Acot1/Mlycd/Dgat2/Acaa2/Fasn/Pdk4/Acacb/Nppa/Upp1/Ddit4/Entpd5/Prkag2/Insr/Acadsb/Ogt/Mpc1/Ak1/Dcakd/Ppargc1a/Acot11/Hmgcs1/Adcy6/Hsd17b4",27,"BP"
"GO:0046890","regulation of lipid biosynthetic process","19/292","203/28814",3.22672918735623e-13,3.39186179870917e-11,2.47948663870531e-11,"Acadvl/Fabp3/Plin5/Dgat2/Dbi/Acadl/Dkk3/Pdk4/Slc27a1/Lpcat3/Fgf1/Srebf2/C3/Ldlr/Ppargc1a/Insig1/Fdps/Prox1/Pcx",19,"BP"
"GO:0010565","regulation of cellular ketone metabolic process","17/292","153/28814",3.52231419406997e-13,3.59678597988745e-11,2.62928836982907e-11,"Acadvl/Fabp3/Plin5/Mlycd/Dgat2/Dbi/Acadl/Cpt1a/Dkk3/Pdk4/Acacb/Coq3/Prkag2/Appl2/Ppargc1a/Insig1/Prox1",17,"BP"
"GO:0046394","carboxylic acid biosynthetic process","22/292","295/28814",4.41073255768924e-13,4.37887726699482e-11,3.20100532403061e-11,"Acadvl/Scd4/Mlycd/Acadl/Scd2/Bcat2/Lpl/Fasn/Pdk4/Acacb/Glul/Tecrl/Per2/Gsto1/Prkag2/Ptgds/Aldh1a2/Abcd3/Gstm7/Abat/Insig1/Prox1",22,"BP"
"GO:0016053","organic acid biosynthetic process","22/292","296/28814",4.72197338322567e-13,4.5611710463915e-11,3.33426399350387e-11,"Acadvl/Scd4/Mlycd/Acadl/Scd2/Bcat2/Lpl/Fasn/Pdk4/Acacb/Glul/Tecrl/Per2/Gsto1/Prkag2/Ptgds/Aldh1a2/Abcd3/Gstm7/Abat/Insig1/Prox1",22,"BP"
"GO:1990845","adaptive thermogenesis","17/292","164/28814",1.10653849617621e-12,1.04072857508784e-10,7.60783531166025e-11,"Acsl1/Decr1/Cpt2/Ucp3/Ucp2/Acadl/Clic5/Cidea/Vegfa/Hadh/Fabp4/Per2/Appl2/Ogt/Ppargc1a/Acot11/Ckb",17,"BP"
"GO:0019217","regulation of fatty acid metabolic process","14/292","102/28814",2.36200974517588e-12,2.16456995622015e-10,1.58232339744306e-10,"Acadvl/Fabp3/Plin5/Mlycd/Dgat2/Dbi/Acadl/Cpt1a/Pdk4/Acacb/Prkag2/Appl2/Ppargc1a/Insig1",14,"BP"
"GO:0072330","monocarboxylic acid biosynthetic process","18/292","208/28814",5.20514133486659e-12,4.65079378270330e-10,3.39977915608918e-10,"Acadvl/Scd4/Mlycd/Acadl/Scd2/Lpl/Fasn/Pdk4/Acacb/Tecrl/Per2/Prkag2/Ptgds/Aldh1a2/Abcd3/Gstm7/Insig1/Prox1",18,"BP"
"GO:0090407","organophosphate biosynthetic process","26/292","482/28814",5.42657739989452e-12,4.73038722615196e-10,3.45796280013818e-10,"Acsl1/Hmgcs2/Nppb/Fabp3/Mlycd/Impa2/Pdk4/Agpat3/Acacb/Slc27a1/Ckmt2/Nppa/Upp1/Cish/Lpcat3/Idi1/Mpc1/Ak1/Smg1/Dcakd/Ppargc1a/Ckb/Hmgcs1/Adcy6/Fdps/Pcx",26,"BP"
"GO:0006066","alcohol metabolic process","22/292","345/28814",9.89920039800331e-12,8.42374814820567e-10,6.15784846813138e-10,"Hmgcs2/Acadvl/Dgat2/Acadl/Cat/Impa2/Retsat/Ephx2/Dkk3/Coq3/Cyp51/Lpcat3/Dhcr24/Lipe/Hsd17b7/Fgf1/Srebf2/Ldlr/Hmgcs1/Insig1/Fdps/Npc1",22,"BP"
"GO:0006575","cellular modified amino acid metabolic process","17/292","203/28814",3.46128872165002e-11,2.87689439329702e-09,2.10304005070633e-09,"Cpt2/Crat/Cpt1b/Acadl/Clic5/Cpt1a/Gstm1/Slc27a1/Ckmt2/Dpep1/Lpcat3/Aldh9a1/Gsto1/Serinc3/Gstm7/Gstm2/Ckb",17,"BP"
"GO:0042180","cellular ketone metabolic process","18/292","236/28814",4.30038238445646e-11,3.49308332773804e-09,2.55348064072271e-09,"Acadvl/Fabp3/Plin5/Mlycd/Dgat2/Dbi/Acadl/Cpt1a/Oxct1/Dkk3/Pdk4/Acacb/Coq3/Prkag2/Appl2/Ppargc1a/Insig1/Prox1",18,"BP"
"GO:0010876","lipid localization","24/292","449/28814",4.43986815055184e-11,3.52624194890495e-09,2.5777199414432e-09,"Acsl1/Fabp3/Slc25a20/Plin5/Cpt1b/Dgat2/Dbi/Pnpla2/Lpl/Cidea/Slc2a1/Acacb/Slc27a1/Fabp4/Lpcat3/Alkbh7/Srebf2/Igfbp3/C3/Abcd3/Ldlr/Plin3/Abcg2/Npc1",24,"BP"
"GO:0009409","response to cold","10/292","48/28814",4.56048209809685e-11,3.5432963083909e-09,2.59018685754608e-09,"Acadvl/Ucp3/Ucp2/Acadl/Cidea/Slc27a1/Lipe/Appl2/Prkaca/Acot11",10,"BP"
"GO:0006633","fatty acid biosynthetic process","15/292","153/28814",5.40374417505166e-11,4.10914503864566e-09,3.00382822899848e-09,"Acadvl/Scd4/Mlycd/Acadl/Scd2/Lpl/Fasn/Pdk4/Acacb/Tecrl/Prkag2/Ptgds/Abcd3/Gstm7/Insig1",15,"BP"
"GO:0046322","negative regulation of fatty acid oxidation","7/292","15/28814",6.13276403490721e-11,4.56635388765799e-09,3.33805270496484e-09,"Acadvl/Plin5/Dgat2/Dbi/Acadl/Acacb/Appl2",7,"BP"
"GO:0006641","triglyceride metabolic process","13/292","112/28814",1.26352762848795e-10,9.21601580452232e-09,6.73700445522469e-09,"Acsl1/Plin5/Dgat2/Dbi/Cat/Pnpla2/Lpl/Cpt1a/Slc27a1/Lipe/C3/Ldlr/Insig1",13,"BP"
"GO:0019218","regulation of steroid metabolic process","13/292","117/28814",2.20054536791777e-10,1.57294982898762e-08,1.14984286382566e-08,"Acadvl/Dgat2/Acadl/Ephx2/Dkk3/Lpcat3/Fgf1/Srebf2/Ldlr/Ppargc1a/Insig1/Fdps/Prox1",13,"BP"
"GO:0090181","regulation of cholesterol metabolic process","9/292","41/28814",2.62823854682311e-10,1.84182834634231e-08,1.34639588714447e-08,"Acadvl/Dgat2/Acadl/Ephx2/Lpcat3/Fgf1/Srebf2/Ldlr/Fdps",9,"BP"
"GO:0006695","cholesterol biosynthetic process","10/292","57/28814",2.77857001019819e-10,1.87369985216006e-08,1.3696942930113e-08,"Hmgcs2/Cyp51/Lpcat3/Dhcr24/Hsd17b7/Fgf1/Srebf2/Hmgcs1/Insig1/Fdps",10,"BP"
"GO:1902653","secondary alcohol biosynthetic process","10/292","57/28814",2.77857001019819e-10,1.87369985216006e-08,1.3696942930113e-08,"Hmgcs2/Cyp51/Lpcat3/Dhcr24/Hsd17b7/Fgf1/Srebf2/Hmgcs1/Insig1/Fdps",10,"BP"
"GO:0060537","muscle tissue development","24/292","493/28814",2.97610566268034e-10,1.96974104415177e-08,1.43990141418569e-08,"Myh7/Ankrd1/Lrrc10/Adra1b/Csrp3/Pdlim5/Xirp2/Vegfa/Nkx2-5/Ybx3/Acta1/Fgf1/Fhod3/Sorbs2/Aldh1a2/Csrp1/Igfbp5/Meg3/Ppargc1a/Bmpr1a/Ccnb1/Fdps/Prox1/Luc7l",24,"BP"
"GO:0120161","regulation of cold-induced thermogenesis","14/292","146/28814",3.21680033422438e-10,2.0903353444578e-08,1.52805711570237e-08,"Acsl1/Decr1/Cpt2/Ucp2/Acadl/Cidea/Vegfa/Hadh/Fabp4/Per2/Appl2/Ogt/Ppargc1a/Acot11",14,"BP"
"GO:0062014","negative regulation of small molecule metabolic process","12/292","98/28814",3.50157434382482e-10,2.195548544707e-08,1.60496907135239e-08,"Acadvl/Plin5/Dgat2/Dbi/Acadl/Dkk3/Acacb/Ddit4/Appl2/Ppargc1a/Insig1/Prox1",12,"BP"
"GO:0120162","positive regulation of cold-induced thermogenesis","12/292","98/28814",3.50157434382482e-10,2.195548544707e-08,1.60496907135239e-08,"Acsl1/Decr1/Cpt2/Ucp2/Acadl/Vegfa/Hadh/Fabp4/Per2/Appl2/Ogt/Ppargc1a",12,"BP"
"GO:0106106","cold-induced thermogenesis","14/292","148/28814",3.85653863924427e-10,2.37642570632052e-08,1.73719217833109e-08,"Acsl1/Decr1/Cpt2/Ucp2/Acadl/Cidea/Vegfa/Hadh/Fabp4/Per2/Appl2/Ogt/Ppargc1a/Acot11",14,"BP"
"GO:0045922","negative regulation of fatty acid metabolic process","8/292","31/28814",6.51346580540933e-10,3.94561470992084e-08,2.8842858392553e-08,"Acadvl/Plin5/Dgat2/Dbi/Acadl/Acacb/Appl2/Insig1",8,"BP"
"GO:0016126","sterol biosynthetic process","10/292","63/28814",7.79497891811607e-10,4.64190398246458e-08,3.39328061864256e-08,"Hmgcs2/Cyp51/Lpcat3/Dhcr24/Hsd17b7/Fgf1/Srebf2/Hmgcs1/Insig1/Fdps",10,"BP"
"GO:0045834","positive regulation of lipid metabolic process","15/292","185/28814",7.92266768131896e-10,4.64190398246458e-08,3.39328061864256e-08,"Fabp3/Plin5/Mlycd/Dgat2/Dbi/Angptl4/Pnpla2/Cpt1a/Slc27a1/Fgf1/Srebf2/Ldlr/Ppargc1a/Fdps/Pcx",15,"BP"
"GO:0045833","negative regulation of lipid metabolic process","12/292","106/28814",8.82800369580993e-10,5.08891696916527e-08,3.72005181205437e-08,"Acadvl/Plin5/Dgat2/Dbi/Acadl/Dkk3/Cidea/Acacb/Slc27a1/Appl2/Insig1/Prox1",12,"BP"
"GO:0014706","striated muscle tissue development","18/292","290/28814",1.22055930024268e-09,6.92425228423385e-08,5.06170122506654e-08,"Myh7/Ankrd1/Lrrc10/Adra1b/Csrp3/Pdlim5/Xirp2/Vegfa/Nkx2-5/Fgf1/Fhod3/Sorbs2/Aldh1a2/Bmpr1a/Ccnb1/Fdps/Prox1/Luc7l",18,"BP"
"GO:0009437","carnitine metabolic process","6/292","13/28814",1.66341102484877e-09,9.28911094188984e-08,6.79043776920171e-08,"Cpt2/Crat/Cpt1b/Acadl/Cpt1a/Aldh9a1",6,"BP"
"GO:0006084","acetyl-CoA metabolic process","8/292","35/28814",1.87617879774032e-09,1.03160969586521e-07,7.54117534573517e-08,"Hmgcs2/Mlycd/Acaa2/Fasn/Pdk4/Acacb/Mpc1/Hmgcs1",8,"BP"
"GO:0006694","steroid biosynthetic process","14/292","169/28814",2.21692756856647e-09,1.20049986819039e-07,8.77578026344811e-08,"Hmgcs2/Dkk3/Cyp51/Lpcat3/Dhcr24/Hsd17b7/Fgf1/Srebf2/Abcd3/Ppargc1a/Hmgcs1/Insig1/Fdps/Prox1",14,"BP"
"GO:0046486","glycerolipid metabolic process","20/292","381/28814",2.64166614558106e-09,1.40915146332936e-07,1.03010453626586e-07,"Acsl1/Hadha/Fabp3/Plin5/Dgat2/Dbi/Cat/Impa2/Pnpla2/Lpl/Cpt1a/Slc27a1/Cish/Lpcat3/Serinc3/Lipe/Smg1/C3/Ldlr/Insig1",20,"BP"
"GO:0048738","cardiac muscle tissue development","17/292","270/28814",2.86487746836211e-09,1.50574589293032e-07,1.10071607994965e-07,"Myh7/Ankrd1/Lrrc10/Adra1b/Csrp3/Pdlim5/Xirp2/Vegfa/Nkx2-5/Fgf1/Fhod3/Sorbs2/Aldh1a2/Bmpr1a/Ccnb1/Fdps/Prox1",17,"BP"
"GO:0010883","regulation of lipid storage","9/292","54/28814",3.55538866687713e-09,1.84158827469839e-07,1.34622039224852e-07,"Plin5/Pnpla2/Lpl/Cidea/Acacb/Alkbh7/Srebf2/C3/Plin3",9,"BP"
"GO:0006639","acylglycerol metabolic process","13/292","147/28814",3.77503680622553e-09,1.92742593506429e-07,1.40896862451906e-07,"Acsl1/Plin5/Dgat2/Dbi/Cat/Pnpla2/Lpl/Cpt1a/Slc27a1/Lipe/C3/Ldlr/Insig1",13,"BP"
"GO:0010884","positive regulation of lipid storage","7/292","25/28814",4.20024017192683e-09,2.11431808091077e-07,1.54558874821681e-07,"Plin5/Lpl/Cidea/Acacb/Srebf2/C3/Plin3",7,"BP"
"GO:0006638","neutral lipid metabolic process","13/292","149/28814",4.45314860653707e-09,2.21049348885604e-07,1.61589398266447e-07,"Acsl1/Plin5/Dgat2/Dbi/Cat/Pnpla2/Lpl/Cpt1a/Slc27a1/Lipe/C3/Ldlr/Insig1",13,"BP"
"GO:0006577","amino-acid betaine metabolic process","6/292","15/28814",4.76948855278226e-09,2.33508932707449e-07,1.70697485046944e-07,"Cpt2/Crat/Cpt1b/Acadl/Cpt1a/Aldh9a1",6,"BP"
"GO:1905954","positive regulation of lipid localization","11/292","99/28814",5.48695039665632e-09,2.65004874562834e-07,1.93721349708407e-07,"Acsl1/Fabp3/Plin5/Dbi/Lpl/Cidea/Acacb/Lpcat3/Srebf2/C3/Plin3",11,"BP"
"GO:0055013","cardiac muscle cell development","11/292","104/28814",9.28396346702886e-09,4.42411805748815e-07,3.2340768175671e-07,"Lrrc10/Adra1b/Csrp3/Pdlim5/Vegfa/Nkx2-5/Fhod3/Sorbs2/Bmpr1a/Fdps/Prox1",11,"BP"
"GO:0031667","response to nutrient levels","19/292","373/28814",1.08278468255939e-08,5.09193744140429e-07,3.72225980901996e-07,"Scd4/Angptl4/Clic5/Lpl/Pdk4/Bckdhb/Sesn1/Slc2a1/Acacb/Glul/Gabarapl1/Cdkn1a/Prkag2/Appl2/Insr/Srebf2/Foxo3/Ldlr/Ppargc1a",19,"BP"
"GO:0046889","positive regulation of lipid biosynthetic process","11/292","107/28814",1.25552249045667e-08,5.82758101414564e-07,4.26002299564383e-07,"Fabp3/Plin5/Dgat2/Dbi/Slc27a1/Fgf1/Srebf2/Ldlr/Ppargc1a/Fdps/Pcx",11,"BP"
"GO:0055001","muscle cell development","15/292","228/28814",1.38102065094815e-08,6.32790744421626e-07,4.62576687672511e-07,"Lrrc10/Adra1b/Csrp3/Pdlim5/Vegfa/Nkx2-5/Acta1/Fhod3/Sorbs2/Ankrd23/Csrp1/Bmpr1a/Fdps/Myom2/Prox1",15,"BP"
