"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"29","Glycerolipid metabolism","5/61",0.00294592206430195,0.0225515413198287,0,0,5.54447332730561,32.3094946945681,"DGAT2;LPL;AGPAT3;ALDH9A1;PNPLA2"
"30","Pyruvate metabolism","4/38",0.00312715936676549,0.0231409793140646,0,0,7.29077750974207,42.0505088168477,"PCX;ME1;ACACB;ALDH9A1"
"31","Steroid biosynthesis","3/19",0.0032798277663074,0.0234877988425885,0,0,11.59375,66.3158368942469,"DHCR24;HSD17B7;CYP51"
"32","PI3K-Akt signaling pathway","13/357",0.00530657658119194,0.0368143750320191,0,0,2.37234785563274,12.428275786708,"CDKN1A;INSR;LPAR3;LAMC1;FGF1;FOXO3;VEGFA;RBL2;CCND2;GNG2;DDIT4;SGK1;YWHAG"
"33","Bile secretion","5/72",0.00600828644078943,0.0404193815107653,0,0,4.6315888909881,23.6887972072811,"SLC2A1;PRKACA;LDLR;ADCY6;ABCG2"
"34","Cocaine addiction","4/48",0.0072744323439723,0.0474977641282897,0,0,5.63091482649842,27.7231869169107,"GPSM1;DDC;PPP1R1B;PRKACA"
"35","Cholesterol metabolism","4/49",0.0078229280408694,0.0496197150020859,0,0,5.50550297932001,26.7055232877843,"NPC1;LPL;ANGPTL4;LDLR"
"36","Fluid shear stress and atherosclerosis","7/143",0.0084024364311276,0.0518150246586202,0,0,3.20347040089921,15.3101332608253,"GSTM2;GSTM1;GSTO1;SQSTM1;GSTM7;BMPR1A;VEGFA"
"37","Circadian rhythm","3/30",0.0120695483659837,0.0724172901959021,0,0,6.86652690426275,30.3299276753512,"PER2;PER1;PRKAG2"
"38","Legionellosis","4/58",0.0140072450828133,0.081831800220646,0,0,4.58581610001168,19.5730912091929,"C3;CLK1;BNIP3;HSPD1"
"39","Lysine degradation","4/59",0.0148409137491618,0.0844790474952287,0,0,4.50220820189274,18.9559509552675,"HADHA;ECHS1;HADH;ALDH9A1"
"40","Prion diseases","3/34",0.0169742142509764,0.0942068890929188,0,0,5.97930614729154,24.3720099881637,"PRNP;LAMC1;PRKACA"
"41","Chemical carcinogenesis","5/94",0.0177626590101684,0.0958228130163728,0,0,3.48279049921775,14.037933325613,"SULT1A1;GSTM2;GSTM1;GSTO1;GSTM7"
"42","Mitophagy","4/63",0.0184857894989808,0.0958228130163728,0,0,4.19611826979629,16.745671478104,"GABARAPL1;BNIP3;FOXO3;SQSTM1"
"43","Autophagy","6/130",0.0185602745932614,0.0958228130163728,0,0,3.00384024577573,11.9755053003021,"GABARAPL1;MTMR14;BNIP3;DDIT4;PRKACA;TRP53INP2"
"44","Glutathione metabolism","4/64",0.019476084347581,0.0982656982991586,0,0,4.12597266035752,16.2504239294918,"GSTM2;GSTM1;GSTO1;GSTM7"
"45","Metabolism of xenobiotics by cytochrome P450","4/66",0.0215534674329796,0.104783407681193,0,0,3.99246972626437,15.3199789882104,"GSTM2;GSTM1;GSTO1;GSTM7"
"46","Circadian entrainment","5/99",0.0217118772672743,0.104783407681193,0,0,3.29669404793967,12.625994782591,"PER2;PER1;GNG2;PRKACA;ADCY6"
"47","Aldosterone synthesis and secretion","5/102",0.0243349303879847,0.114943713747502,0,0,3.19424507373091,11.8693115884788,"LIPE;NPPA;PRKACA;LDLR;ADCY6"
"48","Vascular smooth muscle contraction","6/140",0.0256209951919133,0.116293128055004,0,0,2.77825159914712,10.1804671855588,"NPPB;NPPA;PRKACA;ADRA1B;RAMP1;ADCY6"
"49","Ferroptosis","3/40",0.0261297886811223,0.116293128055004,0,0,5.00815910249873,18.2531337453521,"PRNP;ACSL1;LPCAT3"
"50","HIF-1 signaling pathway","5/104",0.0261921459583342,0.116293128055004,0,0,3.12939521800281,11.3981827015024,"CDKN1A;INSR;NPPA;SLC2A1;VEGFA"
"51","Cellular senescence","7/185",0.0301181418890577,0.131102499987663,0,0,2.44233521792027,8.55459066513118,"RBL2;CCNB1;CDKN1A;CCND2;IGFBP3;FOXO3;SQSTM1"
"52","Vasopressin-regulated water reabsorption","3/43",0.0315195131734566,0.134564075471296,0,0,4.63183962264151,16.0129572142888,"PRKACA;ADCY6;RAB11B"
"53","Renin secretion","4/76",0.0339287473831539,0.142116639982267,0,0,3.43620750087627,11.6263827150086,"NPPA;CLCA1;PRKACA;ADCY6"
"54","Drug metabolism","5/114",0.0368226265918065,0.148629510970564,0,0,2.840843107653,9.37944910627358,"GSTM2;GSTM1;GSTO1;UPP1;GSTM7"
"55","Glutamatergic synapse","5/114",0.0368226265918065,0.148629510970564,0,0,2.840843107653,9.37944910627358,"GNG2;PRKACA;GLUL;SLC38A2;ADCY6"
"56","ABC transporters","3/48",0.0416883630681529,0.165264582163035,0,0,4.11614255765199,13.0791798478853,"ABCD3;ABCC9;ABCG2"
"57","Arginine and proline metabolism","3/50",0.0461628825953757,0.17979227958199,0,0,3.94058610999599,12.1195847183707,"CKMT2;CKB;ALDH9A1"
"58","Pathways in cancer","14/535",0.0510163130248798,0.195269336060747,0,0,1.67688046665458,4.9897420073053,"GSTM2;CDKN1A;GSTM1;GSTO1;SLC2A1;LPAR3;LAMC1;FGF1;ADCY6;VEGFA;CCND2;GNG2;PRKACA;GSTM7"
"59","cGMP-PKG signaling pathway","6/172",0.0593838898695492,0.223444466966778,0,0,2.2390131956397,6.32237388897454,"NPPB;INSR;NPPA;ADRA1B;ADCY6;MYH7"
"60","Glyoxylate and dicarboxylate metabolism","2/31",0.0880931080716252,0.325944499865013,0,0,4.24818938493136,10.3203855170875,"CAT;GLUL"
"61","Adrenergic signaling in cardiomyocytes","5/148",0.0904344779422542,0.329122198412794,0,0,2.16163583252191,5.19469125054254,"KCNE1;PRKACA;ADRA1B;ADCY6;MYH7"
"62","Parathyroid hormone synthesis, secretion and action","4/107",0.0936955122335211,0.333217623953565,0,0,2.39821138709381,5.67825705855507,"CDKN1A;MMP15;PRKACA;ADCY6"
"63","Amphetamine addiction","3/68",0.0960627384370638,0.333217623953565,0,0,2.84673439767779,6.66919775824148,"DDC;PPP1R1B;PRKACA"
"64","Renal cell carcinoma","3/68",0.0960627384370638,0.333217623953565,0,0,2.84673439767779,6.66919775824148,"CDKN1A;SLC2A1;VEGFA"
"65","Cortisol synthesis and secretion","3/69",0.0992967297360201,0.338917036485678,0,0,2.80345911949686,6.47498872649938,"PRKACA;LDLR;ADCY6"
"66","Human T-cell leukemia virus 1 infection","7/245",0.100759118955202,0.338917036485678,0,0,1.82100037467216,4.17923696263645,"FDPS;CDKN1A;CCND2;SLC2A1;CALR;PRKACA;ADCY6"
"67","Oxytocin signaling pathway","5/154",0.102661329955347,0.34016142164309,0,0,2.07395293517968,4.72098006214013,"CDKN1A;NPPA;PRKAG2;PRKACA;ADCY6"
"68","Prolactin signaling pathway","3/72",0.10925574361628,0.356687868864913,0,0,2.68115942028985,5.93625821086525,"CCND2;CISH;FOXO3"
"69","Inositol phosphate metabolism","3/73",0.112658287103747,0.362465793290315,0,0,2.64272237196765,5.77010958754539,"ALDH6A1;IMPA2;MTMR14"
"70","Oocyte meiosis","4/116",0.116729928334049,0.370200629859414,0,0,2.20448400180261,4.73499425100333,"CCNB1;PRKACA;YWHAG;ADCY6"
"71","Alanine, aspartate and glutamate metabolism","2/37",0.118657865959662,0.371014735817535,0,0,3.51885356023287,7.50047508091252,"ABAT;GLUL"
"72","Aldosterone-regulated sodium reabsorption","2/38",0.123981255299359,0.382275537173025,0,0,3.42093347265761,7.1416258705224,"INSR;SGK1"
"73","Salivary secretion","3/78",0.130254078044246,0.39531903088212,0,0,2.46591194968553,5.02619013168883,"ADRA1B;PRKACA;ADCY6"
"74","Tight junction","5/167",0.13177301029404,0.39531903088212,0,0,1.90625488357556,3.86335807844775,"PCNA;PRKAG2;AMOTL1;PRKACA;YBX3"
"75","Bladder cancer","2/41",0.140277870963776,0.413060859964071,0,0,3.1573024676473,6.20135259325497,"CDKN1A;VEGFA"
"76","Hepatocellular carcinoma","5/171",0.141408222330042,0.413060859964071,0,0,1.85993975903614,3.63823630504977,"GSTM2;CDKN1A;GSTM1;GSTO1;GSTM7"
"77","Hedgehog signaling pathway","2/44",0.157000278733514,0.44889636124503,0,0,2.93133303478131,5.42738568006937,"CCND2;PRKACA"
"78","Relaxin signaling pathway","4/131",0.159884412942612,0.44889636124503,0,0,1.9426215256216,3.56141609300467,"GNG2;PRKACA;ADCY6;VEGFA"
"79","Insulin secretion","3/86",0.160218541112055,0.44889636124503,0,0,2.22732439190725,4.07871320797476,"SLC2A1;PRKACA;ADCY6"
"80","Ubiquinone and other terpenoid-quinone biosynthesis","1/11",0.163079813057311,0.44889636124503,0,0,6.1465625,11.1468866565502,"COQ3"
"81","Viral carcinogenesis","6/229",0.163794352849254,0.44889636124503,0,0,1.66184070040572,3.00650844084761,"C3;RBL2;CDKN1A;CCND2;PRKACA;YWHAG"
"82","MicroRNAs in cancer","7/281",0.167304138263063,0.44889636124503,0,0,1.5788158445302,2.82283105720228,"CDKN1A;DNMT1;CCND2;DDIT4;CCNG1;TIMP3;VEGFA"
"83","Estrogen signaling pathway","4/134",0.16914093518707,0.44889636124503,0,0,1.89750060664887,3.3719021741775,"PRKACA;FKBP4;ADCY6;FKBP5"
"84","Transcriptional misregulation in cancer","5/183",0.172045772656121,0.44889636124503,0,0,1.73348385720381,3.05092243151319,"PER2;CDKN1A;CCND2;IGFBP3;MLF1"
"85","Dopaminergic synapse","4/135",0.172267847404743,0.44889636124503,0,0,1.88291954631926,3.31149957083408,"DDC;GNG2;PPP1R1B;PRKACA"
"86","Dilated cardiomyopathy (DCM)","3/90",0.175918844271701,0.44889636124503,0,0,2.12448492734765,3.69178650907153,"PRKACA;ADCY6;MYH7"
"87","Progesterone-mediated oocyte maturation","3/90",0.175918844271701,0.44889636124503,0,0,2.12448492734765,3.69178650907153,"CCNB1;PRKACA;ADCY6"
"88","Retinol metabolism","3/91",0.179909414296911,0.453862386067208,0,0,2.1002358490566,3.60253835052609,"RETSAT;ALDH1A2;DHRS4"
"89","Morphine addiction","3/92",0.183924487664114,0.458777935521722,0,0,2.07653169387322,3.51604575739487,"GNG2;PRKACA;ADCY6"
"90","Cysteine and methionine metabolism","2/50",0.191422361924153,0.47217515941291,0,0,2.56413270637409,4.23921130347532,"DNMT1;BCAT2"
"91","Thiamine metabolism","1/15",0.21556225517417,0.525877149985338,0,0,4.38950892857143,6.73572569871165,"AK1"
"92","Phospholipase D signaling pathway","4/149",0.217963361415662,0.525955067763879,0,0,1.69990209942347,2.58967896076287,"INSR;LPAR3;ADCY6;AGPAT3"
"93","Endocrine and other factor-regulated calcium reabsorption","2/55",0.220786860017298,0.527039601331614,0,0,2.32164192346365,3.50697356673264,"PRKACA;ADCY6"
"94","Human cytomegalovirus infection","6/255",0.227390893298578,0.533178364448554,0,0,1.48632625741059,2.20137514672783,"CDKN1A;GNG2;CALR;PRKACA;ADCY6;VEGFA"
"95","Primary bile acid biosynthesis","1/16",0.228161912714472,0.533178364448554,0,0,4.09666666666667,6.05364334429863,"HSD17B4"
"96","mTOR signaling pathway","4/154",0.235021983392881,0.534405125890606,0,0,1.64281808622503,2.37892580914762,"INSR;DDIT4;ATP6V1B2;SGK1"
"97","Endometrial cancer","2/58",0.238580354190543,0.534405125890606,0,0,2.19693237796686,3.14831199018777,"CDKN1A;FOXO3"
"98","Pyrimidine metabolism","2/58",0.238580354190543,0.534405125890606,0,0,2.19693237796686,3.14831199018777,"ENTPD5;UPP1"
"99","Nitrogen metabolism","1/17",0.240559814471156,0.534405125890606,0,0,3.8404296875,5.4717924172657,"GLUL"
"100","Amoebiasis","3/106",0.24224862590639,0.534405125890606,0,0,1.79300238138853,2.54210210220014,"SERPINB6B;LAMC1;PRKACA"
"101","Rap1 signaling pathway","5/209",0.245769842177974,0.534405125890606,0,0,1.51053301067262,2.11982127641033,"INSR;LPAR3;FGF1;ADCY6;VEGFA"
"102","cAMP signaling pathway","5/211",0.251766837194359,0.534405125890606,0,0,1.49571402236697,2.06296636084921,"LIPE;PPP1R1B;NPPA;PRKACA;ADCY6"
"103","Cushing syndrome","4/159",0.25238812195586,0.534405125890606,0,0,1.58941691258777,2.18828887632117,"CDKN1A;PRKACA;LDLR;ADCY6"
"104","Hippo signaling pathway","4/159",0.25238812195586,0.534405125890606,0,0,1.58941691258777,2.18828887632117,"CCND2;FGF1;YWHAG;BMPR1A"
"105","Pantothenate and CoA biosynthesis","1/18",0.252759181164476,0.534405125890606,0,0,3.61433823529412,4.97086478244762,"BCAT2"
"106","Arginine biosynthesis","1/19",0.264763182252045,0.553786414326609,0,0,3.41336805555556,4.53609138479155,"GLUL"
"107","Kaposi sarcoma-associated herpesvirus infection","5/216",0.266915073571834,0.553786414326609,0,0,1.45989561461395,1.92826625682466,"C3;GABARAPL1;CDKN1A;GNG2;VEGFA"
"108","Cholinergic synapse","3/113",0.272467801413899,0.560072702906347,0,0,1.67830188679245,2.18218657149877,"GNG2;PRKACA;ADCY6"
"109","Non-small cell lung cancer","2/66",0.286238780893494,0.58298173723262,0,0,1.92153213166144,2.40370011087442,"CDKN1A;FOXO3"
"110","Mismatch repair","1/22",0.299633934645269,0.599267869290538,0,0,2.92529761904762,3.52555045781868,"PCNA"
"111","Other types of O-glycan biosynthesis","1/22",0.299633934645269,0.599267869290538,0,0,2.92529761904762,3.52555045781868,"OGT"
"112","Phenylalanine metabolism","1/23",0.310887171033359,0.61616511137114,0,0,2.7921875,3.26218309402011,"DDC"
"113","Ras signaling pathway","5/233",0.319713186567062,0.61616511137114,0,0,1.34986397956918,1.53929171074198,"GNG2;INSR;PRKACA;FGF1;VEGFA"
"114","Adherens junction","2/72",0.321813643560547,0.61616511137114,0,0,1.75629198387819,1.99125337558519,"INSR;BAIAP2"
"115","Melanoma","2/72",0.321813643560547,0.61616511137114,0,0,1.75629198387819,1.99125337558519,"CDKN1A;FGF1"
"116","Histidine metabolism","1/24",0.321960148284019,0.61616511137114,0,0,2.67065217391304,3.02672356282079,"ALDH9A1"
"117","Thyroid hormone synthesis","2/73",0.327705343126417,0.621799881829612,0,0,1.73146717294362,1.93169476140318,"PRKACA;ADCY6"
"118","Gastric acid secretion","2/74",0.333583245025781,0.62758881691291,0,0,1.70733194009056,1.87441628318313,"PRKACA;ADCY6"
"119","Pancreatic cancer","2/75",0.339446276412962,0.633252717341828,0,0,1.68385794649375,1.81930678556615,"CDKN1A;VEGFA"
"120","Ascorbate and aldarate metabolism","1/27",0.354126082989858,0.645136909383657,0,0,2.36213942307692,2.45214227972626,"ALDH9A1"
"121","Collecting duct acid secretion","1/27",0.354126082989858,0.645136909383657,0,0,2.36213942307692,2.45214227972626,"ATP6V1B2"
"122","Serotonergic synapse","3/132",0.355733588582572,0.645136909383657,0,0,1.4297206377066,1.47772089881942,"DDC;GNG2;PRKACA"
"123","Human papillomavirus infection","7/360",0.357440720063918,0.645136909383657,0,0,1.22049403655654,1.25562687106118,"RBL2;CDKN1A;CCND2;ATP6V1B2;LAMC1;PRKACA;VEGFA"
"124","Purine metabolism","3/136",0.37321645862175,0.66817785333894,0,0,1.38643779259469,1.36646852649762,"ENTPD5;AK1;ADCY6"
"125","Chemokine signaling pathway","4/197",0.389426588499354,0.689583686585614,0,0,1.27399029110345,1.20147464612986,"GNG2;PRKACA;FOXO3;ADCY6"
"126","Rheumatoid arthritis","2/84",0.391385335629673,0.689583686585614,0,0,1.49835614343604,1.40555199625266,"ATP6V1B2;VEGFA"
"127","Alcoholism","4/199",0.396676897688319,0.690574761386316,0,0,1.26079430558926,1.16577225993637,"DDC;GNG2;PPP1R1B;PRKACA"
"128","Gap junction","2/86",0.402687324871983,0.690574761386316,0,0,1.46253172115241,1.3303113756084,"PRKACA;ADCY6"
"129","Hypertrophic cardiomyopathy (HCM)","2/86",0.402687324871983,0.690574761386316,0,0,1.46253172115241,1.3303113756084,"PRKAG2;MYH7"
"130","Citrate cycle (TCA cycle)","1/32",0.404390626037032,0.690574761386316,0,0,1.98064516129032,1.79322457686475,"PCX"
"131","Proteoglycans in cancer","4/203",0.411134098651043,0.69608627644692,0,0,1.23519807238083,1.09788832069203,"CDKN1A;TIMP3;PRKACA;VEGFA"
"132","Taste transduction","2/88",0.413889137346817,0.69608627644692,0,0,1.42837355106802,1.26004990552737,"PRKACA;ADCY6"
"133","Arachidonic acid metabolism","2/89",0.419450871624344,0.696301111685531,0,0,1.41188339999279,1.22665682368401,"EPHX2;PTGDS"
"134","GnRH signaling pathway","2/90",0.424985688652351,0.696301111685531,0,0,1.39576802507837,1.19435839810946,"PRKACA;ADCY6"
"135","Protein digestion and absorption","2/90",0.424985688652351,0.696301111685531,0,0,1.39576802507837,1.19435839810946,"COL15A1;SLC38A2"
"136","TGF-beta signaling pathway","2/91",0.430493018867037,0.696301111685531,0,0,1.38001479342045,1.16310982503628,"HFE2;BMPR1A"
"137","Base excision repair","1/35",0.432657222586769,0.696301111685531,0,0,1.80560661764706,1.51275437434232,"PCNA"
"138","Retrograde endocannabinoid signaling","3/150",0.433494624066068,0.696301111685531,0,0,1.25349762546528,1.04776843586558,"GNG2;PRKACA;ADCY6"
"139","Small cell lung cancer","2/92",0.435972317676977,0.696301111685531,0,0,1.36461163357715,1.13286854968996,"CDKN1A;LAMC1"
"140","Thyroid cancer","1/37",0.450754603552795,0.714768014205147,0,0,1.70512152777778,1.3586957448204,"CDKN1A"
"141","mRNA surveillance pathway","2/96",0.457599150631028,0.718110014726816,0,0,1.30627626225572,1.02119674499344,"SMG1;RNPS1"
"142","Glycerophospholipid metabolism","2/97",0.462930957845942,0.718110014726816,0,0,1.29245999010064,0.995423416798045,"LPCAT3;AGPAT3"
"143","Phosphatidylinositol signaling system","2/98",0.46823195768612,0.718110014726816,0,0,1.2789315569488,0.97044235583245,"IMPA2;MTMR14"
"144","African trypanosomiasis","1/39",0.468276444884248,0.718110014726816,0,0,1.61521381578947,1.22545700944578,"NPPA"
"145","Hepatitis C","3/160",0.475233408739522,0.718110014726816,0,0,1.17305612306213,0.872694174651673,"CDKN1A;LDLR;YWHAG"
"146","Fat digestion and absorption","1/40",0.476827263473083,0.718110014726816,0,0,1.57371794871795,1.16549706255937,"DGAT2"
"147","Tyrosine metabolism","1/40",0.476827263473083,0.718110014726816,0,0,1.57371794871795,1.16549706255937,"DDC"
"148","Melanogenesis","2/100",0.478740009817877,0.718110014726816,0,0,1.25270296206257,0.922738002791883,"PRKACA;ADCY6"
"149","JAK-STAT signaling pathway","3/164",0.49153424844001,0.731507786899272,0,0,1.14367748740185,0.812266811371162,"CDKN1A;CCND2;CISH"
"150","Chagas disease (American trypanosomiasis)","2/103",0.494262018175184,0.731507786899272,0,0,1.21530773767032,0.856414603515477,"C3;CALR"
"151","Nucleotide excision repair","1/43",0.501665924227027,0.736757201142482,0,0,1.46108630952381,1.00788782978641,"PCNA"
"152","Pancreatic secretion","2/105",0.504446371953411,0.736757201142482,0,0,1.19158778951213,0.815396070072637,"CLCA1;ADCY6"
"153","Mineral absorption","1/44",0.509681400428819,0.739537718269268,0,0,1.42703488372093,0.961777920727942,"MT1"
"154","Toxoplasmosis","2/108",0.519472131171512,0.748849435844647,0,0,1.15768616549358,0.758217426157115,"LAMC1;LDLR"
"155","Type II diabetes mellitus","1/48",0.540478384028874,0.774104524222001,0,0,1.30531914893617,0.803163701542614,"INSR"
"156","Malaria","1/49",0.547871429842286,0.778518353550814,0,0,1.27805989583333,0.769027345821848,"GYPA"
"157","Thyroid hormone signaling pathway","2/115",0.553333380743279,0.778518353550814,0,0,1.08558271146004,0.642441987167425,"SLC2A1;PRKACA"
"158","Phagosome","3/180",0.554080630004633,0.778518353550814,0,0,1.03944142415521,0.61373305540348,"C3;ATP6V1B2;CALR"
"159","Amyotrophic lateral sclerosis (ALS)","1/52",0.569346645058638,0.794936825176212,0,0,1.20269607843137,0.677437583597178,"CAT"
"160","Glycosaminoglycan biosynthesis","1/53",0.576276629430123,0.799583823334296,0,0,1.17950721153846,0.65010601052135,"EXTL3"
"161","Neurotrophin signaling pathway","2/121",0.580992356076344,0.801119894713965,0,0,1.03053133479097,0.559596733258045,"MAGED1;FOXO3"
"162","Platelet activation","2/125",0.598722972716215,0.820472221870369,0,0,0.996814231465199,0.511322110842248,"PRKACA;ADCY6"
"163","Inflammatory mediator regulation of TRP channels","2/127",0.607375076418604,0.824776122355709,0,0,0.980764890282132,0.489017966224928,"PRKACA;ADCY6"
"164","VEGF signaling pathway","1/58",0.609294072370884,0.824776122355709,0,0,1.07576754385965,0.532993602008631,"VEGFA"
"165","Focal adhesion","3/199",0.622093408256688,0.836998403836271,0,0,0.937764728532923,0.445124116880132,"CCND2;LAMC1;VEGFA"
"166","Spliceosome","2/132",0.628384475267597,0.840369599454257,0,0,0.942802025560646,0.438028723096985,"PPIL1;SRSF5"
"167","Basal cell carcinoma","1/63",0.639746102547521,0.850440926739818,0,0,0.988760080645161,0.441663205140658,"CDKN1A"
"168","Central carbon metabolism in cancer","1/64",0.645546427488708,0.853043493467222,0,0,0.973015873015873,0.425848323435916,"SLC2A1"
"169","Glycolysis / Gluconeogenesis","1/67",0.662394718241778,0.859951037717396,0,0,0.928645833333333,0.382503321488356,"ALDH9A1"
"170","Leishmaniasis","1/67",0.662394718241778,0.859951037717396,0,0,0.928645833333333,0.382503321488356,"C3"
"171","Long-term potentiation","1/67",0.662394718241778,0.859951037717396,0,0,0.928645833333333,0.382503321488356,"PRKACA"
"172","Acute myeloid leukemia","1/69",0.673180945761871,0.863850693405406,0,0,0.901240808823529,0.356658048014658,"PER2"
