"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"16","Adipocytokine signaling pathway","5/71",0.000232843781591585,0.00263404527925481,0,0,9.92273730684327,83.0051144843847,"CPT1A;ACSL1;PRKAG2;CPT1B;ACACB"
"17","Steroid biosynthesis","3/19",0.000411508002620766,0.00438134991025639,0,0,24.2990196078431,189.427431975957,"DHCR24;HSD17B7;CYP51"
"18","Thermogenesis","8/231",0.000470058291788554,0.00472669726742935,0,0,4.75602957217307,36.4438082922768,"LIPE;CPT1A;CPT2;ACSL1;PRKAG2;SLC25A20;PRKACA;CPT1B"
"19","Ovarian steroidogenesis","4/57",0.00102018510299611,0.00971860545485766,0,0,9.82671300893744,67.684150800803,"ACOT2;PRKACA;HSD17B7;LDLR"
"20","Glucagon signaling pathway","5/102",0.00122772132101584,0.0111108779551933,0,0,6.74097084727248,45.182000275342,"CPT1A;PRKAG2;PRKACA;CPT1B;ACACB"
"21","Insulin resistance","5/110",0.00171653377423538,0.0147948863398383,0,0,6.22485020498266,39.6364116627371,"SLC27A1;CPT1A;PRKAG2;CPT1B;ACACB"
"22","Synthesis and degradation of ketone bodies","2/11",0.00317471387319319,0.0252976062555743,0,0,28.6219336219336,164.648754192795,"HMGCS1;HMGCS2"
"23","Pyruvate metabolism","3/38",0.00321461294960337,0.0252976062555743,0,0,11.0974789915966,63.7000656138257,"ME1;ACACB;ALDH9A1"
"24","Insulin signaling pathway","5/139",0.0047115807946835,0.0355331718265714,0,0,4.8705149747949,26.0949129728932,"LIPE;FASN;PRKAG2;PRKACA;ACACB"
"25","Cocaine addiction","3/48",0.00622727923481288,0.0450855016600452,0,0,8.62701525054466,43.8150210292225,"DDC;PPP1R1B;PRKACA"
"26","Cholesterol metabolism","3/49",0.00659595511316965,0.0459179952109118,0,0,8.43904518329071,42.3749664348215,"NPC1;ANGPTL4;LDLR"
"27","Lysine degradation","3/59",0.0109991601690483,0.0737351107628792,0,0,6.92857142857143,31.247416190327,"HADHA;HADH;ALDH9A1"
"28","Glycerolipid metabolism","3/61",0.0120404142093654,0.0778326775676834,0,0,6.68897903989182,29.5618521436575,"DGAT2;AGPAT3;ALDH9A1"
"29","Amphetamine addiction","3/68",0.0161186479423977,0.100602595778413,0,0,5.96651583710407,24.6284553147621,"DDC;PPP1R1B;PRKACA"
"30","Apelin signaling pathway","4/138",0.0230367163484157,0.138988188635441,0,0,3.87077769049489,14.5954097262534,"LIPE;PRKAG2;PRKACA;APLN"
"31","Prion diseases","2/34",0.0288091613780094,0.168208329336119,0,0,8.04058441558442,28.5204501439488,"LAMC1;PRKACA"
"32","Retinol metabolism","3/91",0.0343555433354184,0.19432354199096,0,0,4.40196078431373,14.8389741273555,"RETSAT;ALDH1A2;DHRS4"
"33","Hippo signaling pathway","4/159",0.036086240183076,0.197927559792023,0,0,3.3427843803056,11.1042070492075,"CCND2;FGF1;YWHAG;BMPR1A"
"34","Ferroptosis","2/40",0.0388631936270313,0.206889354308608,0,0,6.76896787423103,21.9836287851198,"ACSL1;LPCAT3"
"35","Vasopressin-regulated water reabsorption","2/43",0.0443188889925401,0.217144201110716,0,0,6.27272727272727,19.5479779113951,"PRKACA;RAB11B"
"36","Aldosterone synthesis and secretion","3/102",0.0456776584523423,0.217144201110716,0,0,3.91067538126362,12.0689150864331,"LIPE;PRKACA;LDLR"
"37","Longevity regulating pathway","3/102",0.0456776584523423,0.217144201110716,0,0,3.91067538126362,12.0689150864331,"CAT;PRKAG2;PRKACA"
"38","Hedgehog signaling pathway","2/44",0.0461970431225959,0.217144201110716,0,0,6.12306740878169,18.8274494354999,"CCND2;PRKACA"
"39","Chagas disease (American trypanosomiasis)","3/103",0.0467879770349056,0.217144201110716,0,0,3.87137254901961,11.8546421909743,"C3;IFNGR2;CALR"
"40","Toxoplasmosis","3/108",0.0525375793094179,0.237732546375116,0,0,3.68608776844071,10.8600497193214,"IFNGR2;LAMC1;LDLR"
"41","ABC transporters","2/48",0.0539925895657321,0.238357529546281,0,0,5.58949745906268,16.315231488034,"ABCD3;ABCC9"
"42","Regulation of lipolysis in adipocytes","2/56",0.0708302556861579,0.305244673314157,0,0,4.75949975949976,12.600628208552,"LIPE;PRKACA"
"43","Legionellosis","2/58",0.0752755005369085,0.316857339469312,0,0,4.58905380333952,11.8700491155253,"C3;HSPD1"
"44","Ubiquinone and other terpenoid-quinone biosynthesis","1/11",0.0825504384794837,0.33958248556333,0,0,12.7961290322581,31.9179706687977,"COQ3"
"45","FoxO signaling pathway","3/132",0.0844909824291549,0.339841507103934,0,0,2.99665602675179,7.40506807408971,"CCND2;CAT;PRKAG2"
"46","Dopaminergic synapse","3/135",0.0889584329095054,0.350032094709141,0,0,2.9281045751634,7.08480102490931,"DDC;PPP1R1B;PRKACA"
"47","Leishmaniasis","2/67",0.0962972256132562,0.364336299075902,0,0,3.95184815184815,9.2485725520922,"C3;IFNGR2"
"48","Vascular smooth muscle contraction","3/140",0.0966195710256535,0.364336299075902,0,0,2.82052382996994,6.59149074328183,"PRKACA;ADRA1B;RAMP1"
"49","Cortisol synthesis and secretion","2/69",0.101173748932285,0.371583397126483,0,0,3.83349486334561,8.78221454079091,"PRKACA;LDLR"
"50","Viral carcinogenesis","4/229",0.10462081982165,0.371583397126483,0,0,2.29461988304094,5.17990407685974,"C3;CCND2;PRKACA;YWHAG"
"51","p53 signaling pathway","2/71",0.106117474651217,0.371583397126483,0,0,3.72200263504611,8.34922812326697,"CCND2;CCNG1"
"52","Bile secretion","2/72",0.10861352505119,0.371583397126483,0,0,3.66864564007421,8.14424415079014,"PRKACA;LDLR"
"53","Adrenergic signaling in cardiomyocytes","3/148",0.109411813017065,0.371583397126483,0,0,2.66382691007437,5.89408042389447,"KCNE1;PRKACA;ADRA1B"
"54","Thiamine metabolism","1/15",0.11085913505431,0.371583397126483,0,0,9.13824884792627,20.0995320755675,"AK1"
"55","Primary bile acid biosynthesis","1/16",0.117799628107987,0.387667867046283,0,0,8.52860215053764,18.2407198265728,"HSD17B4"
"56","Salivary secretion","2/78",0.123903811238387,0.397821022394226,0,0,3.37799043062201,7.05408760543134,"ADRA1B;PRKACA"
"57","Human T-cell leukemia virus 1 infection","4/245",0.125280653461165,0.397821022394226,0,0,2.14053286743831,4.44631236942004,"FDPS;CCND2;CALR;PRKACA"
"58","Tight junction","3/167",0.142168412038398,0.443663492740518,0,0,2.35294117647059,4.58998335024284,"PCNA;PRKAG2;PRKACA"
"59","PI3K-Akt signaling pathway","5/357",0.147479766769627,0.452437928564449,0,0,1.83360927152318,3.50964602303498,"CCND2;LPAR3;LAMC1;FGF1;YWHAG"
"60","Mismatch repair","1/22",0.158326531364545,0.470539137668741,0,0,6.0900153609831,11.2244812730007,"PCNA"
"61","TGF-beta signaling pathway","2/91",0.158579488385598,0.470539137668741,0,0,2.88267911863417,5.30845160032277,"HFE2;BMPR1A"
"62","Tuberculosis","3/178",0.162456793429249,0.47375688234575,0,0,2.20380952380952,4.00507825032978,"C3;IFNGR2;HSPD1"
"63","Phenylalanine metabolism","1/23",0.164898804352388,0.47375688234575,0,0,5.81290322580645,10.4773122159224,"DDC"
"64","Histidine metabolism","1/24",0.171420083712866,0.48479742425045,0,0,5.55988779803647,9.80562998104263,"ALDH9A1"
"65","Glycerophospholipid metabolism","2/97",0.175138828845347,0.487694277246274,0,0,2.69979494190021,4.70351879469348,"LPCAT3;AGPAT3"
"66","Ascorbate and aldarate metabolism","1/27",0.190681876059359,0.522930599496122,0,0,4.91761786600496,8.14922459424117,"ALDH9A1"
"67","Amoebiasis","2/106",0.200447754829218,0.533369723812213,0,0,2.46503496503496,3.96180823996223,"LAMC1;PRKACA"
"68","Parathyroid hormone synthesis, secretion and action","2/107",0.203287494588904,0.533369723812213,0,0,2.44143475572047,3.88953289474683,"MMP15;PRKACA"
"69","Alcoholism","3/199",0.203328789740567,0.533369723812213,0,0,1.9655862344938,3.13104316014482,"DDC;PPP1R1B;PRKACA"
"70","Circadian rhythm","1/30",0.209498698251628,0.541703776907782,0,0,4.40823136818687,6.89023205347216,"PRKAG2"
"71","Glyoxylate and dicarboxylate metabolism","1/31",0.215673862271112,0.549816465789735,0,0,4.2610752688172,6.53643794270162,"CAT"
"72","cAMP signaling pathway","3/211",0.227669967782937,0.567853342205603,0,0,1.85105580693816,2.73930013011491,"LIPE;PPP1R1B;PRKACA"
"73","Oocyte meiosis","2/116",0.229023723651984,0.567853342205603,0,0,2.24766461608567,3.31289959746025,"PRKACA;YWHAG"
"74","Base excision repair","1/35",0.239898883181841,0.579354230361817,0,0,3.75901328273245,5.36613341834283,"PCNA"
"75","Pathways in cancer","6/535",0.240063907608488,0.579354230361817,0,0,1.46049149338374,2.08390244709015,"CCND2;IFNGR2;LPAR3;LAMC1;FGF1;PRKACA"
"76","Tyrosine metabolism","1/40",0.269137178876941,0.625181300977909,0,0,3.27626137303557,4.30020467667565,"DDC"
"77","Fat digestion and absorption","1/40",0.269137178876941,0.625181300977909,0,0,3.27626137303557,4.30020467667565,"DGAT2"
"78","Autophagy","2/130",0.269415146277773,0.625181300977909,0,0,2.00040584415584,2.62353585398428,"PRKACA;TRP53INP2"
"79","Serotonergic synapse","2/132",0.275194378494236,0.628607040786883,0,0,1.96943056943057,2.54111214871747,"DDC;PRKACA"
"80","Estrogen signaling pathway","2/134",0.280971570692001,0.628607040786883,0,0,1.93939393939394,2.4620640711393,"PRKACA;FKBP4"
"81","Nucleotide excision repair","1/43",0.286140878098388,0.628607040786883,0,0,3.04178187403994,3.80609347370467,"PCNA"
"82","Purine metabolism","2/136",0.286745398623799,0.628607040786883,0,0,1.9102539251793,2.38621388154226,"ENTPD5;AK1"
"83","Neuroactive ligand-receptor interaction","4/348",0.288256267322162,0.628607040786883,0,0,1.49173806609547,1.8555810021002,"C3;LPAR3;ADRA1B;APLN"
"84","Phospholipase D signaling pathway","2/149",0.324108400961994,0.682544606018528,0,0,1.74017139323262,1.96061151685561,"LPAR3;AGPAT3"
"85","Arginine and proline metabolism","1/50",0.324302961975654,0.682544606018528,0,0,2.60631994733377,2.93491729206467,"ALDH9A1"
"86","Cysteine and methionine metabolism","1/50",0.324302961975654,0.682544606018528,0,0,2.60631994733377,2.93491729206467,"DNMT1"
"87","Amyotrophic lateral sclerosis (ALS)","1/52",0.334829183964462,0.690610931327582,0,0,2.50385831752056,2.73955845890817,"CAT"
"88","Oxytocin signaling pathway","2/154",0.338359590285879,0.690610931327582,0,0,1.6825017088175,1.82323636861569,"PRKAG2;PRKACA"
"89","Glycosaminoglycan biosynthesis","1/53",0.34003103255547,0.690610931327582,0,0,2.45558312655087,2.64888268492442,"EXTL3"
"90","Endocrine and other factor-regulated calcium reabsorption","1/55",0.350313777458798,0.690610931327582,0,0,2.36439665471924,2.48007717059841,"PRKACA"
"91","Cushing syndrome","2/159",0.352520279836489,0.690610931327582,0,0,1.62850525270907,1.69795632293348,"PRKACA;LDLR"
"92","Wnt signaling pathway","2/160",0.35534030236261,0.690610931327582,0,0,1.61811606115404,1.67423127513028,"CCND2;PRKACA"
"93","Hepatitis C","2/160",0.35534030236261,0.690610931327582,0,0,1.61811606115404,1.67423127513028,"LDLR;YWHAG"
"94","Protein processing in endoplasmic reticulum","2/163",0.363774208463966,0.690610931327582,0,0,1.58772283617004,1.60554011931194,"CALR;SEC24D"
"95","Pyrimidine metabolism","1/58",0.365440159651178,0.690610931327582,0,0,2.23961516694963,2.25451473333828,"ENTPD5"
"96","JAK-STAT signaling pathway","2/164",0.366576448202704,0.690610931327582,0,0,1.57784191117524,1.58344039326988,"CCND2;IFNGR2"
"97","Inflammatory bowel disease (IBD)","1/59",0.370404113213261,0.690610931327582,0,0,2.20088987764182,2.18583726874186,"IFNGR2"
"98","MicroRNAs in cancer","3/281",0.375634278368882,0.690610931327582,0,0,1.38002539145154,1.35123705829943,"DNMT1;CCND2;CCNG1"
"99","Influenza A","2/168",0.377737470726136,0.690610931327582,0,0,1.539508684087,1.49879768019682,"FDPS;IFNGR2"
"100","Glycolysis / Gluconeogenesis","1/67",0.4087514462077,0.697429021455036,0,0,1.93333333333333,1.72965283606463,"ALDH9A1"
"101","Long-term potentiation","1/67",0.4087514462077,0.697429021455036,0,0,1.93333333333333,1.72965283606463,"PRKACA"
"102","Phagosome","2/180",0.410711527686685,0.697429021455036,0,0,1.43484605282358,1.27681812060812,"C3;CALR"
"103","Type I diabetes mellitus","1/69",0.417969925113906,0.697429021455036,0,0,1.87628083491461,1.63676570320787,"HSPD1"
"104","Transcriptional misregulation in cancer","2/183",0.418824123790336,0.697429021455036,0,0,1.4108488196886,1.22786765259372,"CCND2;MLF1"
"105","Melanoma","1/72",0.431530537644104,0.697429021455036,0,0,1.7967287596547,1.51000139411241,"FGF1"
"106","Prolactin signaling pathway","1/72",0.431530537644104,0.697429021455036,0,0,1.7967287596547,1.51000139411241,"CCND2"
"107","Calcium signaling pathway","2/189",0.434878623411223,0.697429021455036,0,0,1.36516424751719,1.13675631487394,"PRKACA;ADRA1B"
"108","Thyroid hormone synthesis","1/73",0.435980610800575,0.697429021455036,0,0,1.77168458781362,1.47077726107534,"PRKACA"
"109","Inositol phosphate metabolism","1/73",0.435980610800575,0.697429021455036,0,0,1.77168458781362,1.47077726107534,"IMPA2"
"110","Gastric acid secretion","1/74",0.440396069592616,0.697429021455036,0,0,1.74732655766681,1.43294895918318,"PRKACA"
"111","Pertussis","1/76",0.449124211831132,0.697429021455036,0,0,1.70055913978495,1.36122240704015,"C3"
"112","Renin secretion","1/76",0.449124211831132,0.697429021455036,0,0,1.70055913978495,1.36122240704015,"PRKACA"
"113","Salmonella infection","1/78",0.457717080038892,0.697429021455036,0,0,1.65622119815668,1.29434351594504,"IFNGR2"
"114","Focal adhesion","2/199",0.461099474553688,0.697429021455036,0,0,1.29520733074033,1.00267371904505,"CCND2;LAMC1"
"115","ECM-receptor interaction","1/83",0.478621019392404,0.697429021455036,0,0,1.55483870967742,1.14567697303334,"LAMC1"
"116","RNA degradation","1/83",0.478621019392404,0.697429021455036,0,0,1.55483870967742,1.14567697303334,"HSPD1"
"117","Rap1 signaling pathway","2/209",0.486604665356573,0.697429021455036,0,0,1.23200953635736,0.887420486641234,"LPAR3;FGF1"
"118","Gap junction","1/86",0.490777001554926,0.697429021455036,0,0,1.49973434535104,1.0674590557168,"PRKACA"
"119","Hypertrophic cardiomyopathy (HCM)","1/86",0.490777001554926,0.697429021455036,0,0,1.49973434535104,1.0674590557168,"PRKAG2"
"120","Insulin secretion","1/86",0.490777001554926,0.697429021455036,0,0,1.49973434535104,1.0674590557168,"PRKACA"
"121","Th1 and Th2 cell differentiation","1/87",0.494766084839507,0.697429021455036,0,0,1.48222055513878,1.04299441073782,"IFNGR2"
"122","Taste transduction","1/88",0.498724117596743,0.697429021455036,0,0,1.46510938079347,1.01927982922728,"PRKACA"
"123","Complement and coagulation cascades","1/88",0.498724117596743,0.697429021455036,0,0,1.46510938079347,1.01927982922728,"C3"
"124","Steroid hormone biosynthesis","1/89",0.502651340039463,0.697429021455036,0,0,1.44838709677419,0.996285390558082,"HSD17B7"
"125","Arachidonic acid metabolism","1/89",0.502651340039463,0.697429021455036,0,0,1.44838709677419,0.996285390558082,"EPHX2"
"126","Antigen processing and presentation","1/90",0.506547990472833,0.697429021455036,0,0,1.43204059441827,0.973982663278405,"CALR"
"127","Dilated cardiomyopathy (DCM)","1/90",0.506547990472833,0.697429021455036,0,0,1.43204059441827,0.973982663278405,"PRKACA"
"128","GABAergic synapse","1/90",0.506547990472833,0.697429021455036,0,0,1.43204059441827,0.973982663278405,"PRKACA"
"129","GnRH signaling pathway","1/90",0.506547990472833,0.697429021455036,0,0,1.43204059441827,0.973982663278405,"PRKACA"
"130","Progesterone-mediated oocyte maturation","1/90",0.506547990472833,0.697429021455036,0,0,1.43204059441827,0.973982663278405,"PRKACA"
"131","Protein digestion and absorption","1/90",0.506547990472833,0.697429021455036,0,0,1.43204059441827,0.973982663278405,"COL15A1"
"132","Morphine addiction","1/92",0.514250519200396,0.697429021455036,0,0,1.40042538107054,0.931345534596209,"PRKACA"
"133","Small cell lung cancer","1/92",0.514250519200396,0.697429021455036,0,0,1.40042538107054,0.931345534596209,"LAMC1"
"134","Staphylococcus aureus infection","1/95",0.525580874921573,0.697429021455036,0,0,1.35552505147563,0.871943115462134,"C3"
"135","mRNA surveillance pathway","1/96",0.529298995773483,0.697429021455036,0,0,1.34118845500849,0.853266505718926,"RNPS1"
"136","Human papillomavirus infection","3/360",0.534938718788404,0.697429021455036,0,0,1.07030263085626,0.669584625571983,"CCND2;LAMC1;PRKACA"
"137","Epstein-Barr virus infection","2/229",0.535312695899704,0.697429021455036,0,0,1.12231821042394,0.701341390938255,"CCND2;CALR"
"138","Phosphatidylinositol signaling system","1/98",0.536648598213189,0.697429021455036,0,0,1.31340206185567,0.817476912764179,"IMPA2"
"139","Circadian entrainment","1/99",0.540280526135374,0.697429021455036,0,0,1.29993416721527,0.800326284852604,"PRKACA"
"140","Melanogenesis","1/100",0.54388416660054,0.697429021455036,0,0,1.28673835125448,0.783648083151441,"PRKACA"
"141","Ras signaling pathway","2/233",0.544670681835564,0.697429021455036,0,0,1.10265924551639,0.669947000736859,"FGF1;PRKACA"
"142","Th17 cell differentiation","1/102",0.551007458939614,0.697429021455036,0,0,1.26113062919195,0.751642598196811,"IFNGR2"
"143","NF-kappa B signaling pathway","1/102",0.551007458939614,0.697429021455036,0,0,1.26113062919195,0.751642598196811,"ERC1"
"144","HIF-1 signaling pathway","1/104",0.558020206376169,0.701400398292268,0,0,1.23651738177263,0.721334909804681,"IFNGR2"
"145","Cholinergic synapse","1/113",0.588254674511571,0.727288824314674,0,0,1.13663594470046,0.603093695678683,"PRKACA"
"146","Glutamatergic synapse","1/114",0.591484526887186,0.727288824314674,0,0,1.12652012560662,0.591557972377546,"PRKACA"
"147","Human cytomegalovirus infection","2/255",0.593781497631515,0.727288824314674,0,0,1.00564652738566,0.524187094220451,"CALR;PRKACA"
"148","Thyroid hormone signaling pathway","1/115",0.594689204411999,0.727288824314674,0,0,1.1165817770232,0.580305811696854,"PRKACA"
"149","Natural killer cell mediated cytotoxicity","1/118",0.604154129726771,0.733905352218427,0,0,1.08778604907637,0.548163598525381,"IFNGR2"
"150","Neurotrophin signaling pathway","1/121",0.613399410616712,0.739844621843552,0,0,1.06043010752688,0.518273537755445,"MAGED1"
"151","Lysosome","1/124",0.62243011201417,0.739844621843552,0,0,1.03440860215054,0.490437868370169,"NPC1"
"152","Endocytosis","2/269",0.62293466172204,0.739844621843552,0,0,0.952235030886716,0.450705831028232,"LDLR;RAB11B"
"153","Platelet activation","1/125",0.625393520121897,0.739844621843552,0,0,1.02601456815817,0.481584762178235,"PRKACA"
"154","Inflammatory mediator regulation of TRP channels","1/127",0.631251182821237,0.740518637061201,0,0,1.00962621607783,0.464479979038393,"PRKACA"
"155","Osteoclast differentiation","1/128",0.634145794168431,0.740518637061201,0,0,1.00162560325121,0.456216815628524,"IFNGR2"
"156","Relaxin signaling pathway","1/131",0.642694860212614,0.743202279678041,0,0,0.978362282878412,0.432519508799986,"PRKACA"
"157","Spliceosome","1/132",0.645500204931334,0.743202279678041,0,0,0.970844619551835,0.424967573788339,"PPIL1"
"158","Signaling pathways regulating pluripotency of stem cells","1/137",0.659202013820715,0.743202279678041,0,0,0.934914611005693,0.389602520741528,"BMPR1A"
"159","Herpes simplex virus 1 infection","3/433",0.659857084590389,0.743202279678041,0,0,0.885271317829457,0.368035620734875,"C3;IFNGR2;CALR"
"160","Cytokine-cytokine receptor interaction","2/292",0.667301087888362,0.743202279678041,0,0,0.875682937751903,0.354225945524507,"IFNGR2;BMPR1A"
"161","MAPK signaling pathway","2/294",0.670954521244305,0.743202279678041,0,0,0.86959615726739,0.347015757015187,"FGF1;PRKACA"
"162","Systemic lupus erythematosus","1/143",0.674951212297916,0.743202279678041,0,0,0.895138573375738,0.351892282829486,"C3"
"163","Fluid shear stress and atherosclerosis","1/143",0.674951212297916,0.743202279678041,0,0,0.895138573375738,0.351892282829486,"BMPR1A"
"164","Measles","1/144",0.677504840590479,0.743202279678041,0,0,0.888833746898263,0.346057270180754,"CCND2"
"165","Parkinson disease","1/144",0.677504840590479,0.743202279678041,0,0,0.888833746898263,0.346057270180754,"PRKACA"
"166","Breast cancer","1/147",0.685046737816987,0.744167745650903,0,0,0.870437472381794,0.329258826908179,"FGF1"
"167","Gastric cancer","1/150",0.692413362915356,0.744167745650903,0,0,0.852781987443169,0.313458914106818,"FGF1"
"168","Retrograde endocannabinoid signaling","1/150",0.692413362915356,0.744167745650903,0,0,0.852781987443169,0.313458914106818,"PRKACA"
"169","Non-alcoholic fatty liver disease (NAFLD)","1/151",0.694830657541451,0.744167745650903,0,0,0.84705376344086,0.308401366334938,"PRKAG2"
"170","Hepatitis B","1/163",0.72240691183344,0.769150888481486,0,0,0.783831142970928,0.254875793210275,"PCNA"
"171","RNA transport","1/167",0.731037116815277,0.773787825400966,0,0,0.764788184998057,0.239601289776749,"RNPS1"
"172","cGMP-PKG signaling pathway","1/172",0.741450871012432,0.780247718914245,0,0,0.742237313714393,0.222037602395871,"ADRA1B"
"173","Necroptosis","1/176",0.74949261218069,0.784151230084999,0,0,0.725124423963134,0.20909602214873,"IFNGR2"
"174","Cellular senescence","1/185",0.766689293746869,0.797533115909099,0,0,0.689340813464236,0.183139691789407,"CCND2"
"175","Chemokine signaling pathway","1/197",0.787806721704065,0.814817237876776,0,0,0.646741277156024,0.154249409019849,"PRKACA"
"176","Proteoglycans in cancer","1/203",0.797641844324305,0.818916084319456,0,0,0.627339508144363,0.141838701818115,"PRKACA"
"177","NOD-like receptor signaling pathway","1/205",0.800818491295821,0.818916084319456,0,0,0.62112586970272,0.137965074595212,"TXNIP"
"178","Kaposi sarcoma-associated herpesvirus infection","1/216",0.817424603182272,0.828013547377036,0,0,0.589017254313578,0.118743881104601,"C3"
"179","Regulation of actin cytoskeleton","1/217",0.818864226411544,0.828013547377036,0,0,0.586260454002389,0.11715652365685,"FGF1"
"180","Human immunodeficiency virus 1 infection","1/238",0.846621145760645,0.851324596570427,0,0,0.533741663263917,0.0888690405035526,"CALR"
"181","Olfactory transduction","1/1133",0.999888946564803,0.999888946564803,0,0,0.10664538926251,1.18439944957883e-05,"PRKACA"
